Journal,Management,First Section,Second Section,Third Section,Fourth Section,Fifth Section,PubType,Relevance
CLIMATE DYNAMICS,1,1,NA,X,NA,1,J,1
CLIMATE OF THE PAST,0,X,X,0,0,X,J,1
CLIMATE POLICY,1,0,NA,X,NA,1,J,1
CLIMATE RESEARCH,1,1,NA,X,NA,1,J,1
CLIMATE RISK MANAGEMENT,1,1,NA,0,NA,X,J,1
CLIMATIC CHANGE,1,1,1,1,1,1,J,1
CLIMATIC CHANGES AND WATER RESOURCES IN THE MIDDLE EAST AND NORTH AFRICA,1,X,NA,X,NA,1,S,0
CLINICAL CANCER RESEARCH,0,X,X,X,0,X,J,1
CLINICAL MICROBIOLOGY AND INFECTION,0,X,X,0,X,X,J,1
CLINICAL NEUROPSYCHOLOGIST,0,X,X,X,X,0,J,1
CO-CREATING SUSTAINABLE URBAN FUTURES: A PRIMER ON APPLYING TRANSITION MANAGEMENT IN CITIES,0,0,X,X,X,X,S,0
COASTAL CITIES AND THEIR SUSTAINABLE FUTURE II,0,X,0,X,X,X,S,0
COASTAL DUNE MANAGEMENT: SHARED EXPERIENCE OF EUROPEAN CONSERVATION PRACTICE,1,X,NA,X,NA,1,B,0
COASTAL ENGINEERING,0,X,X,0,X,X,J,1
"COASTAL ENGINEERING 2008, VOLS 1-5",0,X,X,X,X,0,B,0
COASTAL ENVIRONMENT V: INCORPORATING OIL SPILL STUDIES,1,X,NA,X,NA,1,S,0
COASTAL MANAGEMENT,1,1,NA,1,NA,1,J,1
COASTAL WATER BODIES: NATURE AND CULTURE CONFLICTS IN THE MEDITERRANEAN,1,X,NA,X,1,X,B,0
COASTAL WETLANDS: ALTERATION AND REMEDIATION,1,X,1,X,X,X,S,0
COGENT FOOD & AGRICULTURE,1,X,1,X,X,X,J,1
COGENT SOCIAL SCIENCES,1,1,NA,X,NA,X,J,1
COLD-WATER CORALS AND ECOSYSTEMS,1,X,NA,X,NA,1,B,0
COLD REGIONS ENGINEERING: PUTTING RESEARCH INTO PRACTICE,1,X,NA,X,NA,1,B,0
COLD REGIONS SCIENCE AND TECHNOLOGY,1,X,NA,X,1,X,J,1
COMMUNICATING CLIMATE CHANGE INFORMATION FOR DECISION-MAKING,0,0,X,X,X,X,S,0
COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,1,1,NA,X,NA,X,J,1
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,1,1,NA,X,NA,X,J,1
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0,X,0,X,X,X,J,1
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,0,X,X,X,0,X,J,1
"COMMUNICATIONS, SIGNAL PROCESSING, AND SYSTEMS",1,1,NA,X,NA,X,S,0
COMMUNITY ADAPTATION AND VULNERABILITY IN ARCTIC REGIONS,1,X,NA,X,1,X,B,0
COMMUNITY ECOLOGY,1,1,NA,X,NA,1,J,1
COMMUNITY PARTICIPATION AND EMPOWERMENT,1,X,NA,X,NA,1,B,0
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1,X,NA,X,NA,1,J,1
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,0,X,X,X,X,0,J,1
COMPARATIVE COGNITION & BEHAVIOR REVIEWS,1,X,1,X,X,X,J,1
COMPARATIVE POLITICS,1,X,NA,X,1,X,J,1
COMPLEX SCIENCE FOR A COMPLEX WORLD: EXPLORING HUMAN ECOSYSTEMS WITH AGENTS,1,X,NA,X,NA,1,B,0
COMPLEX SYSTEMS AND SOCIAL PRACTICES IN ENERGY TRANSITIONS: FRAMING ENERGY SUSTAINABILITY IN THE TIME OF RENEWABLES,0,X,0,X,X,X,S,0
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,0,X,X,X,X,0,J,1
COMPTES RENDUS BIOLOGIES,1,X,NA,X,NA,1,J,1
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,0,X,X,0,X,X,J,1
COMPTES RENDUS GEOSCIENCE,1,X,1,X,NA,X,J,1
COMPUTATIONAL & APPLIED MATHEMATICS,1,1,NA,X,NA,X,J,1
"COMPUTATIONAL MATERIALS SCIENCE, PTS 1-3",1,X,NA,X,1,X,S,0
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2004, PT 2",1,X,NA,X,NA,1,S,0
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2015, PT IV",1,X,NA,1,NA,X,S,0
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2017, PT IV",1,X,1,X,X,X,S,0
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0,X,X,0,X,X,J,1
COMPUTATIONAL SYSTEMS BIOLOGY: METHODS AND PROTOCOLS,0,0,X,X,X,X,S,0
COMPUTER ANALYSIS OF IMAGES AND PATTERNS,0,X,X,X,X,0,S,0
"COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE IX, CCTA 2015, PT I",0,X,0,X,X,X,S,0
COMPUTER APPLICATIONS IN SUSTAINABLE FOREST MANAGEMENT: INCLUDING PERSPECTIVES ON COLLABORATION AND INTEGRATION,1,X,NA,X,NA,1,S,0
COMPUTER JOURNAL,1,X,NA,X,1,X,J,1
COMPUTERS & GEOSCIENCES,1,X,NA,1,NA,X,J,1
COMPUTERS & MATHEMATICS WITH APPLICATIONS,1,X,NA,X,NA,1,J,1
COMPUTERS AND ELECTRONICS IN AGRICULTURE,1,X,NA,1,1,NA,J,1
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,1,X,NA,1,NA,X,J,1
CONCEPTS AND APPLICATIONS IN ENVIRONMENTAL GEOCHEMISTRY,1,X,NA,X,NA,1,S,0
CONDOR,1,1,1,1,NA,1,J,1
CONFERENCE PROCEEDINGS OF THE 6TH INTERNATIONAL SYMPOSIUM ON PROJECT MANAGEMENT (ISPM2018),1,1,X,X,X,X,B,0
CONFERENCE PROCEEDINGS ON TRANSFORMATION OF RESOURCE-BASED ECONOMY AND INTERNATIONALIZATION OF HIGHER EDUCATION - TAIYUAN 2012,1,X,X,X,1,X,B,0
CONFIGURATIONS,1,X,NA,X,NA,1,J,1
CONFLICT AND HEALTH,0,X,0,X,X,X,J,1
CONFLICT SECURITY & DEVELOPMENT,0,0,X,X,X,X,J,1
CONNECTED LANDS: NEW PERSPECTIVES ON ECOLOGICAL NETWORKS PLANNING,0,X,0,X,X,X,S,0
CONSEQUENCES OF LAND USE CHANGES,1,X,NA,X,NA,1,S,0
CONSERVATION & SOCIETY,1,1,1,1,NA,X,J,1
"Conservation and Development Interventions at the Wildlife/Livestock Interface: IMPLICATIONS FOR WILDLIFE, LIVESTOCK AND HUMAN HEALTH",0,X,X,X,X,0,B,0
CONSERVATION AND MANAGEMENT OF SEMI-AQUATIC MAMMALS OF SOUTHWESTERN EUROPE,0,X,X,0,X,X,S,0
CONSERVATION AND RECREATION IN PROTECTED AREAS: A COMPARATIVE LEGAL ANALYSIS OF ENVIRONMENTAL CONFLICT RESOLUTION IN THE UNITED STATES AND CHINA,0,X,0,0,X,X,B,0
CONSERVATION BIOLOGY,1,1,1,1,1,1,J,1
CONSERVATION BIOLOGY: VOICES FROM THE TROPICS,1,X,NA,1,NA,X,B,0
CONSERVATION ECOLOGY,1,X,NA,X,NA,1,J,1
CONSERVATION GENETICS,1,1,NA,1,1,1,J,1
CONSERVATION GENETICS RESOURCES,1,1,NA,0,NA,X,J,1
CONSERVATION LETTERS,1,1,1,1,1,1,J,1
CONSERVATION PHYSIOLOGY,1,0,NA,1,1,X,J,1
"CONSERVATION, ECOLOGY, AND MANAGEMENT OF CATFISH: THE SECOND INTERNATIONAL SYMPOSIUM, 2010",1,X,NA,X,1,X,S,0
CONSOIL 2008: THEME A - POLICIES ON SOIL-WATER SYSTEMS,1,X,NA,X,NA,1,B,0
CONSOIL 2008: THEME F - SUSTAINABLE & RISK BASED LAND MANAGEMENT,1,X,NA,X,NA,1,B,0
"CONTAMINATED SOIL '98, VOLS 1 AND 2",1,X,NA,X,NA,1,B,0
CONTEMPORARY INNOVATION AND DEVELOPMENT IN STATISTICAL SCIENCE,1,X,NA,X,1,X,B,0
CONTEMPORARY PROBLEMS OF ECOLOGY,1,X,NA,1,NA,X,J,1
CONTEMPORARY TRENDS IN GEOSCIENCE,1,1,NA,X,NA,X,J,1
CONTINENTAL SHELF RESEARCH,1,X,NA,1,NA,1,J,1
"CONTRIBUTIONS TO GAME THEORY AND MANAGEMENT, VOL V",1,X,NA,X,1,X,S,0
CONTRIBUTIONS TO PROBABILITY AND STATISTICS: APPLICATIONS AND CHALLENGES,1,X,NA,X,NA,1,B,0
CONTROL OF PLANT VIRUS DISEASES - SEED-PROPAGATED CROPS,1,X,NA,1,NA,X,S,0
CONTROVERSIAL ISSUES IN SOCIAL STUDIES EDUCATION IN TURKEY: THE CONTEMPORARY DEBATES,0,0,X,X,X,X,B,0
COPEIA,1,1,NA,0,NA,1,J,1
CORAL REEFS,1,1,NA,0,NA,1,J,1
CORAL REEFS OF THE EASTERN TROPICAL PACIFIC: PERSISTENCE AND LOSS IN A DYNAMIC ENVIRONMENT,1,X,1,X,X,X,B,0
CORAL REEFS: AN ECOSYSTEM IN TRANSITION,1,X,NA,X,1,X,B,0
"CORAL REEFS: BIOLOGY, THREATS AND RESTORATION",0,X,X,X,X,0,B,0
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,0,0,X,X,X,X,J,1
CORPORATE STEWARDSHIP: ACHIEVING SUSTAINABLE EFFECTIVENESS,0,X,X,0,X,X,B,0
"COTTON, WATER, SALTS AND SOUMS: ECONOMIC AND ECOLOGICAL RESTRUCTURING IN KHOREZM, UZBEKISTAN",1,X,NA,X,1,X,B,0
COUNTERACTION TO CHEMICAL AND BIOLOGICAL TERRORISM IN EAST EUROPEAN COUNTRIES,0,X,X,X,X,0,S,0
"CREATING GLOBAL COMPETITIVE ECONOMIES: A 360-DEGREE APPROACH, VOLS 1-4",1,X,NA,X,1,X,B,0
CREATING LOW CARBON CITIES,0,X,0,X,X,X,B,0
CREATIVE NURSING,0,0,X,X,X,X,J,1
CRIME & DELINQUENCY,0,0,X,X,X,X,J,1
CRIMINAL AND ENVIRONMENTAL SOIL FORENSICS,0,X,X,X,X,0,B,0
"CRIOCM2009: INTERNATIONAL SYMPOSIUM ON ADVANCEMENT OF CONSTRUCTION MANAGEMENT AND REAL ESTATE, VOLS 1-6",1,X,NA,X,NA,1,B,0
"CRITICAL APPROACH TO CLIMATE CHANGE ADAPTATION: DISCOURSES, POLICIES, AND PRACTICES",0,0,X,X,X,X,B,0
CRITICAL ASIAN STUDIES,0,0,X,X,X,X,J,1
CRITICAL DISCOURSE STUDIES,0,X,X,0,X,X,J,1
CRITICAL PERSPECTIVES ON ACCOUNTING,0,X,X,0,X,X,J,1
CRITICAL PHILOSOPHY OF RACE,0,0,X,X,X,X,J,1
CRITICAL POLICY STUDIES,0,0,X,X,X,X,J,1
CRITICAL PUBLIC HEALTH,0,0,X,X,X,X,J,1
CRITICAL REVIEWS IN BIOTECHNOLOGY,1,X,1,X,X,X,J,1
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1,X,NA,X,1,X,J,1
CRITICAL REVIEWS IN PLANT SCIENCES,1,X,NA,0,NA,1,J,1
CRITICAL REVIEWS IN TOXICOLOGY,1,X,NA,X,1,X,J,1
CRITICAL SOCIAL POLICY,0,X,0,X,X,X,J,1
CROP & PASTURE SCIENCE,1,X,NA,0,1,X,J,1
CROP PROTECTION,1,X,NA,1,NA,1,J,1
CROP SCIENCE,1,X,NA,X,NA,1,J,1
CROP STRESS AND ITS MANAGEMENT: PERSPECTIVES AND STRATEGIES,1,X,NA,X,1,X,B,0
CROSS-CULTURAL RESEARCH,1,X,NA,X,NA,1,J,1
CRUSTACEANA,1,X,1,X,X,X,J,1
CRYOLETTERS,0,X,X,0,X,X,J,1
CRYOSPHERE,0,X,X,0,X,X,J,1
CRYPTOGAMIE ALGOLOGIE,0,X,X,X,X,0,J,1
CRYPTOGAMIE BRYOLOGIE,1,X,NA,1,NA,X,J,1
CRYPTOGAMIE MYCOLOGIE,1,X,X,1,X,X,J,1
CUADERNOS DE BIOETICA,1,X,1,X,X,X,J,1
CUADERNOS DE INVESTIGACION GEOGRAFICA,1,1,NA,X,NA,X,J,1
CUBAN JOURNAL OF AGRICULTURAL SCIENCE,1,X,NA,X,NA,1,J,1
CULTURAL ANTHROPOLOGY,1,X,NA,X,1,X,J,1
CULTURAL GEOGRAPHIES,0,0,X,0,X,X,J,1
CULTURAL STUDIES REVIEW,0,0,X,X,X,X,J,1
CULTURAL TOURISM IN A DIGITAL ERA,1,X,X,1,X,X,S,0
CULTURE AGRICULTURE FOOD AND ENVIRONMENT,0,X,0,X,X,X,J,1
CULTURE HEALTH & SEXUALITY,0,X,X,0,X,X,J,1
CURRENT ANTHROPOLOGY,1,X,NA,X,1,X,J,1
CURRENT BIOINFORMATICS,0,X,X,X,X,0,J,1
CURRENT BIOLOGY,1,X,NA,1,NA,X,J,1
CURRENT CARDIOLOGY REPORTS,0,X,0,X,X,X,J,1
CURRENT CLIMATE CHANGE REPORTS,0,0,X,X,X,X,J,1
CURRENT FORESTRY REPORTS,1,X,1,0,NA,1,J,1
CURRENT ISSUES IN TOURISM,1,0,NA,X,1,X,J,1
CURRENT OPINION IN BEHAVIORAL SCIENCES,1,X,1,X,X,X,J,1
CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,1,1,1,1,NA,X,J,1
CURRENT OPINION IN INSECT SCIENCE,1,NA,1,X,X,X,J,1
CURRENT OPINION IN MICROBIOLOGY,1,X,1,X,X,X,J,1
CURRENT ORGANIC CHEMISTRY,0,X,X,X,X,0,J,1
CURRENT SCIENCE,1,1,NA,1,NA,1,J,1
CURRENT SOCIOLOGY,1,X,NA,0,1,X,J,1
"CURRENT STUDIES OF BIOTECHNOLOGY, VOL III: FOOD",1,X,NA,X,NA,1,B,0
CURRENT ZOOLOGY,1,X,NA,1,NA,X,J,1
CURRICULA FOR SUSTAINABILITY IN HIGHER EDUCATION,0,X,0,X,X,X,S,0
CUSTOS E AGRONEGOCIO ON LINE,1,1,NA,X,NA,X,J,1
CUTTHROAT TROUT: EVOLUTIONARY BIOLOGY AND TAXONOMY,1,1,NA,X,NA,X,S,0
CYANOBACTERIAL HARMFUL ALGAL BLOOMS: STATE OF THE SCIENCE AND RESEARCH NEEDS,1,X,NA,X,NA,1,S,0
CYPRUS INTERNATIONAL CONFERENCE ON EDUCATIONAL RESEARCH (CY-ICER-2012),1,X,NA,X,1,X,S,0
CYTOLOGIA,0,X,0,X,X,X,J,1
DATA IN BRIEF,1,1,NA,0,NA,X,J,1
DEALING WITH CONTAMINATED SITES: FROM THEORY TOWARDS PRACTICAL APPLICATION,1,X,NA,X,1,X,B,0
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,1,1,NA,1,NA,X,J,1
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,1,1,1,X,NA,1,J,1
DEEP-TIME PERSPECTIVES ON CLIMATE CHANGE: MARRYING THE SIGNAL FROM COMPUTER MODELS AND BIOLOGICAL PROXIES,0,X,X,X,X,0,B,0
DEFINING AND ASSESSING ADVERSE ENVIRONMENTAL IMPACT FROM POWER PLANT IMPINGEMENT AND ENTRAINMENT OF AQUATIC ORGANISMS,1,X,NA,X,NA,1,B,0
DEMOGRAPHIC TRANSITION AND DEVELOPMENT IN AFRICA: THE UNIQUE CASE OF ETHIOPIA,1,X,NA,X,1,X,B,0
DENDROBIOLOGY,1,X,NA,1,NA,X,J,1
DENDROCHRONOLOGIA,0,X,0,0,X,X,J,1
DENDROCLIMATOLOGY: PROGRESS AND PROSPECTS,1,X,NA,X,1,X,S,0
DENDROECOLOGY: TREE-RING ANALYSES APPLIED TO ECOLOGICAL STUDIES,1,X,1,X,X,X,S,0
DESALINATION,1,X,NA,X,NA,1,J,1
DESALINATION AND WATER TREATMENT,1,1,NA,0,NA,X,J,1
DESENVOLVIMENTO E MEIO AMBIENTE,1,1,NA,X,NA,X,J,1
Desertification in the Mediterranean Region. A Security Issue,1,X,NA,X,NA,1,S,0
DESERTIFICATION IN THE THIRD MILLENNIUM,1,X,NA,X,NA,1,B,0
DESIGN AND PRACTICE OF GEOSYNTHETIC-REINFORCED SOIL STRUCTURES,1,X,NA,1,NA,X,B,0
DEVELOPMENT AND CHANGE,1,X,NA,0,NA,1,J,1
DEVELOPMENT OF FORM AND FUNCTION IN FISHES AND THE QUESTION OF LARVAL ADAPTATION,1,X,NA,X,NA,1,S,0
DEVELOPMENT POLICY REVIEW,1,X,NA,X,NA,1,J,1
DEVELOPMENT SOUTHERN AFRICA,1,X,NA,X,1,X,J,1
DIABETES,0,X,0,0,X,X,J,1
DIALECTICA,0,X,X,X,X,0,J,1
DIALOGUES IN HUMAN GEOGRAPHY,0,0,X,X,X,X,J,1
DIATOM RESEARCH,1,X,NA,X,NA,1,J,1
DIFFERENTIAL EQUATIONS AND DYNAMICAL SYSTEMS,1,1,NA,1,NA,X,J,1
DISASTER ADVANCES,1,X,NA,1,NA,X,J,1
DISASTER PREVENTION AND MANAGEMENT,1,0,NA,0,NA,1,J,1
DISASTER RISK GOVERNANCE IN INDIA AND CROSS CUTTING ISSUES,0,0,X,X,X,X,S,0
DISASTERS,1,X,NA,X,NA,1,J,1
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,0,0,X,X,X,X,J,1
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,0,X,X,0,X,X,J,1
DISCRETE DYNAMICS IN NATURE AND SOCIETY,0,X,0,X,X,0,J,1
DISEASES OF AQUATIC ORGANISMS,1,X,NA,X,1,X,J,1
DIVERSITY-BASEL,1,1,NA,X,NA,X,J,1
DIVERSITY AND DISTRIBUTIONS,1,1,1,0,1,1,J,1
"DNA: FINGERPRINTING, SEQUENCING AND CHIPS",0,X,X,X,X,0,B,0
DUKE LAW JOURNAL,0,X,X,0,X,X,J,1
Dynamics and Biogeochemistry of River Corridors and Wetlands,1,X,NA,X,NA,1,S,0
DYNAMICS IN GISCIENCE,1,1,NA,X,NA,X,S,0
"DYNAMICS, GAMES AND SCIENCE II",1,X,NA,X,1,X,S,0
EARLY EDUCATION AND DEVELOPMENT,0,X,0,X,X,X,J,1
EARTH-SCIENCE REVIEWS,1,1,NA,X,NA,0,J,1
EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,1,1,NA,X,NA,X,J,1
EARTH AND PLANETARY SCIENCE LETTERS,0,X,0,X,X,X,J,1
EARTH INTERACTIONS,1,X,NA,0,NA,1,J,1
EARTH OBSERVATION OF WILDLAND FIRES IN MEDITERRANEAN ECOSYSTEMS,1,X,NA,X,NA,1,B,0
EARTH STEWARDSHIP: LINKING ECOLOGY AND ETHICS IN THEORY AND PRACTICE,1,X,NA,1,NA,X,B,0
EARTH SURFACE PROCESSES AND LANDFORMS,0,X,0,X,X,0,J,1
EARTH SYSTEM DYNAMICS,1,0,NA,1,NA,X,J,1
EARTH SYSTEM SCIENCE DATA,1,1,NA,X,NA,X,J,1
EARTH SYSTEMS ANALYSIS: INTEGRATING SCIENCE FOR SUSTAINABILITY - COMPLEMENTED RESULTS OF A SYMPOSIUM,0,X,X,X,X,0,B,0
EARTHS FUTURE,1,1,NA,1,NA,X,J,1
Eco- and Ground Bio-Engineering: The Use of Vegetation to Improve Slope Stability,1,X,NA,X,NA,1,B,0
ECO-ARCHITECTURE III: HARMONISATION BETWEEN ARCHITECTURE AND NATURE,1,X,NA,X,1,X,S,0
"ECO-CITY PLANNING- POLICIES, PRACTICE AND DESIGN",1,X,NA,X,1,X,B,0
ECO-SOCIALISM AS POLITICS: REBUILDING THE BASIS OF OUR MODERN CIVILISATION,1,X,NA,X,1,X,B,0
ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,1,1,NA,X,1,X,J,1
ECOGRAPHY,1,1,1,1,NA,1,J,1
ECOHEALTH,1,X,NA,1,NA,1,J,1
ECOHYDROLOGY,1,1,NA,1,NA,X,J,1
ECOHYDROLOGY & HYDROBIOLOGY,1,1,NA,1,NA,X,J,1
ECOLOGICAL AND GENETIC IMPLICATIONS OF AQUACULTURE ACTIVITIES,1,NA,NA,X,NA,1,S,0
ECOLOGICAL APPLICATIONS,1,1,1,1,1,1,J,1
ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,0,X,X,0,X,X,J,1
ECOLOGICAL COMPLEXITY,1,1,1,1,NA,1,J,1
ECOLOGICAL CONNECTIVITY AMONG TROPICAL COASTAL ECOSYSTEMS,1,X,NA,X,NA,1,B,0
ECOLOGICAL CONTINUUM FROM THE CHANGJIANG (YANGTZE RIVER) WATERSHEDS TO THE EAST CHINA SEA CONTINENTAL MARGIN,1,X,NA,1,NA,X,S,0
ECOLOGICAL ECONOMICS,1,1,1,1,1,1,J,1
ECOLOGICAL ECONOMICS REVIEWS,1,X,NA,X,1,X,S,0
ECOLOGICAL ECONOMICS: SUSTAINABILITY IN PRACTICE,1,X,NA,X,1,X,B,0
ECOLOGICAL ENGINEERING,1,1,1,1,NA,1,J,1
"ECOLOGICAL ENGINEERING: FROM CONCEPTS TO APPLICATIONS, PARIS 2009",1,X,NA,X,1,X,S,0
ECOLOGICAL ENTOMOLOGY,1,1,1,X,NA,1,J,1
ECOLOGICAL GOVERNANCE: REAPPRAISING LAW'S ROLE IN PROTECTING ECOSYSTEM FUNCTIONALITY,0,X,X,0,X,X,B,0
"ECOLOGICAL HEALTH: SOCIETY, ECOLOGY AND HEALTH",1,X,NA,X,1,X,S,0
ECOLOGICAL INDICATORS,1,1,1,1,1,1,J,1
ECOLOGICAL INFORMATICS,1,1,NA,1,NA,1,J,1
ECOLOGICAL MANAGEMENT & RESTORATION,1,1,NA,1,NA,X,J,1
ECOLOGICAL MODELLING,1,1,1,1,1,1,J,1
ECOLOGICAL MONOGRAPHS,1,1,NA,1,NA,1,J,1
ECOLOGICAL PROCESSES,1,1,NA,X,NA,X,J,1
ECOLOGICAL QUESTIONS,1,1,NA,X,NA,X,J,1
ECOLOGICAL RESEARCH,1,1,NA,1,NA,1,J,1
ECOLOGICAL RESTORATION,1,X,1,X,NA,X,J,1
ECOLOGY,1,1,1,1,NA,1,J,1
ECOLOGY AND CONSERVATION OF LOWLAND FARMLAND BIRDS,1,X,NA,X,NA,1,B,0
ECOLOGY AND EVOLUTION,1,1,1,1,1,X,J,1
ECOLOGY AND SOCIETY,1,1,NA,1,1,1,J,1
"ECOLOGY FOR EVERYONE: COMMUNICATING ECOLOGY TO SCIENTISTS, THE PUBLIC AND THE POLITICIANS",1,X,NA,X,NA,1,B,0
ECOLOGY LAW QUARTERLY,1,1,NA,X,NA,1,J,1
ECOLOGY LETTERS,1,1,NA,1,NA,1,J,1
ECOLOGY OF FRESHWATER FISH,1,1,NA,X,NA,1,J,1
"ECOLOGY, CONSERVATION, AND MANAGEMENT OF GROUSE",1,X,NA,X,1,X,B,0
"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION CONFERENCE PROCEEDINGS, SGEM 2016, VOL II",0,X,0,X,X,X,S,0
"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION CONFERENCE PROCEEDINGS, SGEM 2016, VOL III",0,X,0,0,X,X,S,0
"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, VOL I",1,X,NA,1,NA,X,S,0
"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, VOL II",1,X,X,1,X,X,S,0
"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, VOL III",1,X,X,1,X,X,S,0
ECONOMIC AND LABOUR RELATIONS REVIEW,1,X,NA,X,1,X,J,1
ECONOMIC AND POLITICAL WEEKLY,0,X,X,X,X,0,J,1
ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,1,X,1,0,X,X,J,1
ECONOMIC AND SOCIAL DEVELOPMENT (ESD 2019): 37TH INTERNATIONAL SCIENTIFIC CONFERENCE ON ECONOMIC AND SOCIAL DEVELOPMENT - SOCIO ECONOMIC PROBLEMS OF SUSTAINABLE DEVELOPMENT,0,0,X,X,X,X,S,0
ECONOMIC ANNALS-XXI,0,0,X,X,X,X,J,1
ECONOMIC ANTHROPOLOGY,0,X,0,X,X,X,J,1
ECONOMIC BOTANY,1,X,NA,1,NA,1,J,1
ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,1,X,NA,X,NA,1,J,1
"ECONOMIC SCIENCE FOR RURAL DEVELOPMENT: FINANCES, TAXES, INVESTMENT AND SUPPORT SYSTEMS",1,X,NA,X,NA,1,S,0
ECONOMIC SYSTEMS RESEARCH,1,X,NA,X,1,0,J,1
ECONOMIC THEORY,1,X,NA,X,NA,1,J,1
"ECONOMIC, SOCIAL AND POLITICAL ELEMENTS OF CLIMATE CHANGE",1,X,NA,X,1,X,S,0
ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,1,X,NA,X,1,X,J,1
ECONOMY AND SOCIETY,1,X,NA,X,1,X,J,1
ECOSCIENCE,1,1,NA,0,NA,1,J,1
ECOSMART - ENVIRONMENT AT CROSSROADS: SMART APPROACHES FOR A SUSTAINABLE DEVELOPMENT,0,X,0,X,X,X,S,0
ECOSPHERE,1,1,1,1,1,X,J,1
ECOSYSTEM-BASED DISASTER RISK REDUCTION AND ADAPTATION IN PRACTICE,0,X,0,X,X,X,S,0
ECOSYSTEM APPROACH TO FISHERIES,1,X,NA,X,NA,1,B,0
ECOSYSTEM APPROACHES FOR FISHERIES MANAGEMENT,1,X,NA,X,NA,1,B,0
ECOSYSTEM FUNCTION IN HETEROGENEOUS LANDSCAPES,1,X,NA,X,NA,1,B,0
ECOSYSTEM HEALTH,1,X,NA,X,NA,1,J,1
ECOSYSTEM SERVICES,1,1,1,1,1,X,J,1
ECOSYSTEM SERVICES-BOOK,1,X,NA,X,1,X,S,0
"ECOSYSTEM SERVICES: FROM BIODIVERSITY TO SOCIETY, PT 2",1,X,NA,1,NA,X,S,0
ECOSYSTEM SERVICES: FROM CONCEPT TO PRACTICE,0,X,X,0,X,X,B,0
ECOSYSTEMS,1,X,NA,X,NA,1,J,1
ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT,1,X,NA,X,NA,1,S,0
ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT III,1,X,NA,X,NA,1,S,0
"ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT IV, VOLS 1 AND 2",1,X,NA,1,NA,1,S,0
ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT IX,1,X,NA,X,1,X,S,0
Ecosystems and Sustainable Development V,1,X,NA,X,NA,1,S,0
ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT VI,1,X,NA,X,NA,1,S,0
ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT VII,1,X,NA,X,NA,1,S,0
"ECOSYSTEMS DYNAMICS, ECOSYSTEM-SOCIETY INTERACTIONS, AND REMOTE SENSING APPLICATIONS FOR SEMI-ARID AND ARID LAND, PTS 1 AND 2",1,X,NA,X,NA,1,S,0
"ECOSYSTEMS, SOCIETY, AND HEALTH: PATHWAYS THROUGH DIVERSITY, CONVERGENCE, AND INTEGRATION",1,X,NA,1,NA,X,B,0
