Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Status
0378-3774,Agricultural water management,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1976,ACTIVE
0378-4274,Toxicology letters,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1977,ACTIVE
0378-4290,Field crops research,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1978,ACTIVE
0378-4320,Animal reproduction science,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1978,ACTIVE
0378-4738,Water SA,9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2008,ACTIVE
0378-4754,Mathematics and computers in simulation,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1958,ACTIVE
0378-7788,Energy and buildings,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1977,ACTIVE
0378-8741,Journal of ethnopharmacology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1979,ACTIVE
0393-5965,Aerobiologia,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0536-1036,Izvestii︠a︡ vysshikh uchebnykh zavedeniĭ. Lesnoĭ zhurnal,9.91043E+14,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2016,ACTIVE
0701-1784,Canadian Water Resources Journal,1.10979E+14,1E+15,Gale OneFile: CPI.Q,getFullTxt,2004-2012,ACTIVE
0716-1182,Chungara: Revista de Antropología Chilena,9.91043E+14,2.67E+15,JSTOR Arts and Sciences IX,getFullTxt,1972-2017,ACTIVE
0733-3188,Zoo Biology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0734-9750,Biotechnology advances,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0743-0167,Journal of rural studies,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1985,ACTIVE
0777-6276,Belgian journal of zoology,9.54926E+11,2.56E+15,EBSCOhost Academic Search Complete,getFullTxt,2010-2020,ACTIVE
0778-4031,Belgian Journal of Botany,9.54929E+11,2.67E+15,JSTOR Life Sciences Collection,getFullTxt,1990-2009,ACTIVE
0790-0627,International Journal of Water Resources Development,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0803-9410,Forum for development studies,1.10979E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0815-3191,Australasian Plant Pathology,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0885-6087,Hydrological Processes,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1996,ACTIVE
0885-6095,Western Journal of Applied Forestry,1.10979E+14,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,2009-2013,ACTIVE
0886-9375,Regulated Rivers: Research & Management,9.54926E+11,2.52E+15,CRKN Wiley Online Library,getFullTxt,1996-2001,ACTIVE
0890-5487,China Ocean Engineering,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2011,ACTIVE
0892-1016,Journal of Raptor Research,9.54926E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2013,ACTIVE
0898-1221,Computers & mathematics with applications (1987),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
0899-7659,Journal of aquatic animal health,9.54926E+11,4.1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2011-2013,ACTIVE
0906-4702,"Acta agriculturæ Scandinavica. Section A, Animal science",9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1998-2020,ACTIVE
0906-6691,Ecology of Freshwater Fish,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0909-6396,Wildlife Biology,9.54926E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
0921-3449,"Resources, conservation and recycling",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1988,ACTIVE
0921-4488,Small ruminant research,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1988,ACTIVE
0921-8009,Ecological economics (Amsterdam),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
0921-8181,Global and planetary change,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
0921-8971,Journal of Applied Phycology,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0924-090X,Nonlinear Dynamics,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0924-2244,Trends in food science & technology (Regular ed.),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1990,ACTIVE
0924-2716,ISPRS journal of photogrammetry and remote sensing,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
0924-7963,Journal of marine systems,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1990,ACTIVE
0925-8574,Ecological engineering,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0925-9864,Genetic Resources and Crop Evolution,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0926-6690,Industrial crops and products,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0928-7655,Resource and energy economics,9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1993,ACTIVE
0929-1393,Applied soil ecology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1994,ACTIVE
0931-1890,Trees - Structure and Function,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0931-2048,Journal of Applied Entomology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0932-4739,European journal of protistology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1987,ACTIVE
0937-7409,Chemoecology,9.54933E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1998,ACTIVE
0951-4198,Rapid Communications in Mass Spectrometry,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1996,ACTIVE
0952-1976,Engineering applications of artificial intelligence,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1988,ACTIVE
0954-1020,Antarctic Science,9.54926E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1989,ACTIVE
0956-7135,Food control,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1990,ACTIVE
0959-2709,Bird Conservation International,9.54926E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2000,ACTIVE
0959-3780,Global environmental change,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1990,ACTIVE
0959-6526,Journal of cleaner production,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1993,ACTIVE
0960-0779,"Chaos, solitons and fractals",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1991,ACTIVE
0960-2585,Seed Science Research,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1999,ACTIVE
0960-9822,Current biology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,1995-2020,ACTIVE
0961-9534,Biomass & bioenergy,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1991,ACTIVE
0962-1083,Molecular Ecology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0962-6298,Political geography,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0963-9969,Food research international,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0964-5691,Ocean & coastal management,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0964-8305,International biodeterioration & biodegradation,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
0966-6923,Journal of transport geography,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1993,ACTIVE
0966-9582,Journal of sustainable tourism,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0967-0262,European journal of phycology,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2020,ACTIVE
0967-0335,Journal of Near Infrared Spectroscopy,9.54926E+11,3.78E+15,Sage CRKN Collection,getFullTxt,-1999,ACTIVE
0967-0637,Deep-sea research. Part 1. Oceanographic research papers,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1993,ACTIVE
0967-0645,Deep-sea research. Part 2. Topical studies in oceanography,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1993,ACTIVE
0967-6120,Aquaculture International,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0971-3514,Differential Equations and Dynamical Systems,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2008,ACTIVE
0972-4923,Conservation & Society,1E+15,2.67E+15,EBSCOhost Environment Complete,getFullTxt,-2009,ACTIVE
0972-9860,"Asian Journal of Water, Environment and Pollution",1E+15,3.71E+15,EBSCOhost Environment Complete,getFullTxt,2015-2021,ACTIVE
1002-0063,Chinese Geographical Science,1.10979E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1002-0071,Progress in Natural Science Materials International,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2008,ACTIVE
1002-0160,PEDOSPHERE,1.10979E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2006,ACTIVE
1007-5704,Communications in nonlinear science & numerical simulation,1.10976E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1996,ACTIVE
1007-662X,Journal of Forestry Research,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1009-637X,Journal of Geographical Sciences,9.91043E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2001,ACTIVE
1011-2367,Asian - Australasian Journal of Animal Sciences,9.54929E+11,2.67E+15,Business Insights: Essentials,getFullTxt,-2007,ACTIVE
1017-0839,"Terrestrial, Atmospheric and Oceanic Sciences",9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2007,ACTIVE
1018-7081,The Journal of Animal and Plant Sciences,2.48E+15,2.56E+15,EBSCOhost Academic Search Complete,getFullTxt,-2013,ACTIVE
1021-3589,African Entomology,9.54926E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2016,ACTIVE
1022-0119,African journal of range & forage science,1.10979E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,2008-2020,ACTIVE
1035-3712,Wildlife Research,9.54926E+11,1.10976E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1974,ACTIVE
1040-6182,Quaternary international,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
1049-9644,Biological control,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1991,ACTIVE
1050-3862,Genetic analysis,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,1991-1999,ACTIVE
1052-7613,Aquatic Conservation: Marine and Freshwater Ecosystems,9.54929E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1054-9811,Journal of sustainable forestry,1.10976E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,2000-2020,ACTIVE
1055-7903,Molecular phylogenetics and evolution,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
1061-2971,Restoration Ecology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1063-0740,Russian Journal of Marine Biology,1.10975E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2000,ACTIVE
1063-1801,Configurations,9.54926E+11,1E+15,Project Muse Premium Collection,getFullTxt,-1993,ACTIVE
1064-2293,Eurasian Soil Science,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2006,ACTIVE
1066-5234,The Journal of Eukaryotic Microbiology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1074-4827,Human Ecology Review,1.10976E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,-2005,ACTIVE
1076-2825,Ecosystem Health,9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1998-2001,ACTIVE
1080-7039,Human and Ecological Risk Assessment,9.54926E+11,2.55E+15,Public Health Database,getFullTxt,2003-2007,ACTIVE
1083-4427,"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",9.54926E+11,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,1996-2012,ACTIVE
1084-2020,ILAR Journal,1.10979E+14,4.33E+15,CRKN Oxford University Press Current,getFullTxt,-1997,ACTIVE
1095-5674,The Journal of the Torrey Botanical Society,9.54929E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1997-2017,ACTIVE
1095-6433,"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1110-9823,The Egyptian journal of remote sensing and space sciences,2.67E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2010,ACTIVE
1126-3504,Plant Biosystems,1.10979E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2004-2020,ACTIVE
1129-5767,Journal of limnology,1.10979E+14,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2015,ACTIVE
1146-609X,Acta oecologica (Montrouge),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1997,ACTIVE
1161-0301,European journal of agronomy,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1992,ACTIVE
1164-5563,European journal of soil biology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1195-5449,Conservation Ecology,1.10977E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,1997-2003,ACTIVE
1226-5934,International Journal of Urban Sciences,9.91043E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1998,ACTIVE
1226-8615,Journal of Asia Pacific Entomology,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1234-1983,Journal of Applied Genetics,1.10976E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2006,ACTIVE
1239-6095,Boreal Environment Research,1.10976E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,-2005,ACTIVE
1296-2074,Journal of cultural heritage,9.74393E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2000,ACTIVE
1300-008X,Turkish journal of botany,1.10979E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2002,ACTIVE
1300-0179,Türk zooloji dergisi,1.10979E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2002,ACTIVE
1300-1361,Ekoloji,1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,-2007,ACTIVE
1305-7707,Journal of Pediatric Infectious Diseases,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2006-2014,ACTIVE
1313-2989,Zookeys,1E+15,2.55E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
1319-562X,Saudi Journal of Biological Sciences,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2009,ACTIVE
1325-2224,Journal of Economic and Social Policy,1.11093E+14,2.67E+15,ABI/INFORM Collection,getFullTxt,2012-2015,ACTIVE
1331-677X,Ekonomska Istrazivanja,1E+15,2.56E+15,ABI/INFORM Collection,getFullTxt,"2010-2017,2019-",ACTIVE
1350-4495,Infrared physics & technology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1994,ACTIVE
1350-4509,International Journal of Sustainable Development and World Ecology,9.54926E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
1351-0754,European Journal of Soil Science,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1352-2310,Atmospheric environment (1994),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1994,ACTIVE
1354-1013,Global Change Biology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1355-557X,Aquaculture Research,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1360-1385,Trends in plant science,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1996,ACTIVE
1361-9209,"Transportation research. Part D, Transport and environment",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1996,ACTIVE
1364-0321,Renewable & sustainable energy reviews,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1997,ACTIVE
1364-503X,"Philosophical Transactions: Mathematical, Physical and Engineering Sciences",9.54926E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1996-2017,ACTIVE
1364-8152,Environmental modelling & software,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1997,ACTIVE
1366-7017,Water policy,9.74393E+11,3.81E+15,ABI/INFORM Collection,getFullTxt,2003-2020,ACTIVE
1367-9430,Animal Conservation,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1998,ACTIVE
1368-3500,Current issues in tourism,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1998,ACTIVE
1369-5274,Current opinion in microbiology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1369-8478,"Transportation research. Part F, Traffic psychology and behaviour",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1383-5769,Parasitology international,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1997,ACTIVE
1385-1101,Journal of sea research (Den Burg. Print),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1996,ACTIVE
1385-1314,Nutrient Cycling in Agroecosystems,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1386-1425,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1995,ACTIVE
1386-6141,BioControl,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1389-224X,The Journal of agricultural education and extension,1.10992E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1998,ACTIVE
1389-9341,Forest policy and economics,1.10979E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2000,ACTIVE
1392-2130,Veterinarija ir Zootechnika,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2005,ACTIVE
1392-2785,Inžinerinė ekonomika,9.91043E+14,1E+15,EBSCOhost Business Source Complete,getFullTxt,-2006,ACTIVE
1405-0471,Madera Y Bosques,9.91043E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2004-2019,ACTIVE
1433-8319,"Perspectives in plant ecology, evolution and systematics",1.10976E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1434-4610,Protist (Jena. Print),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1435-8603,Plant Biology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1999,ACTIVE
1437-4781,Forest Pathology,1.10976E+14,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2000,ACTIVE
1438-4639,International journal of hygiene and environmental health,1.10986E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2000,ACTIVE
1439-1791,Basic and applied ecology,1.10976E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2000,ACTIVE
1442-9985,Austral Ecology,9.63018E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2000,ACTIVE
1448-6563,Australasian journal of environmental management,1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,2007-2012,ACTIVE
1460-7425,JASSS,9.54925E+11,1E+15,EBSCOhost SocINDEX with Full Text,getFullTxt,-2005,ACTIVE
1461-023X,Ecology Letters,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1998,ACTIVE
1461-6688,Tourism geographies,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1999,ACTIVE
1462-9011,Environmental science & policy,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1998,ACTIVE
1464-1909,"Physics and chemistry of the earth. Part B: Hydrology, oceans and atmosphere",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,1999-2001,ACTIVE
1464-7931,Biological Reviews,1.10976E+14,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
1466-0466,Environmental Practice,1.10979E+14,3.71E+15,CRKN Cambridge University Press Journals,getFullTxt,2007-2016,ACTIVE
1469-3062,Climate policy,1.11002E+14,2.55E+15,ABI/INFORM Collection,getFullTxt,2008-2013,ACTIVE
1470-160X,Ecological indicators,1.11012E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2001,ACTIVE
1473-5903,International Journal of Agricultural Sustainability,1.11083E+14,2.56E+15,ABI/INFORM Collection,getFullTxt,2008-2013,ACTIVE
1474-7065,Physics and chemistry of the earth,1.11006E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2002,ACTIVE
1476-945X,Ecological complexity,1.1108E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2004,ACTIVE
1477-2000,Systematics and Biodiversity,1.11057E+14,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,2010-2020,ACTIVE
1519-566X,Neotropical Entomology,9.91043E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2012,ACTIVE
1522-6514,International Journal of Phytoremediation,1.10979E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2002-2020,ACTIVE
1523-908X,Journal of Environmental Policy and Planning,9.58635E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1999,ACTIVE
1524-4695,Waterbirds: The International Journal of Waterbird Biology,1.10999E+14,1E+15,JSTOR Life Sciences Collection,getFullTxt,1999-2015,ACTIVE
1526-498X,Pest Management Science,9.58635E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2000,ACTIVE
1527-0904,Western North American Naturalist,1.10976E+14,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,ACTIVE
1527-5922,Environmental Forensics,9.61067E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,2000-2020,ACTIVE
1535-1459,River Research and Applications,1.11006E+14,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2002,ACTIVE
1545-5955,IEEE Transactions on Automation Science and Engineering,1.11099E+14,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,-2004,ACTIVE
1551-3203,IEEE Transactions on Industrial Informatics,1E+15,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,-2005,ACTIVE
1567-1348,"Infection, genetics and evolution",1.11012E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2001,ACTIVE
1568-7767,Phytochemistry Reviews,1.11022E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2002,ACTIVE
1568-9883,Harmful algae,1.1103E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2002,ACTIVE
1569-190X,Simulation modelling practice and theory,1.11025E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2002,ACTIVE
1570-7555,Animal Biology,1.11057E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2020,ACTIVE
1573-062X,Urban water journal,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2005-2020,ACTIVE
1573-5214,NJAS Wageningen journal of life sciences,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2000-2020,ACTIVE
1574-9541,Ecological informatics,1E+15,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2006,ACTIVE
1582-9146,Amfiteatru Economic,2.52E+15,2.67E+15,ABI/INFORM Collection,getFullTxt,-2012,ACTIVE
1582-9596,Environmental Engineering & Management Journal (EEMJ),1E+15,1E+15,EBSCOhost Environment Complete,getFullTxt,-2002,ACTIVE
1589-1623,Applied ecology and environmental research,1E+15,3.85E+15,EBSCOhost Environment Complete,getFullTxt,-2017,ACTIVE
1612-4669,European Journal of Forest Research,1.11074E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
1616-5047,Mammalian Biology,1.10999E+14,4.1E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2002,ACTIVE
1617-1381,Journal for nature conservation,1.11035E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2002,ACTIVE
1618-8667,Urban forestry & urban greening,1.11035E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2002,ACTIVE
1631-0691,Comptes rendus. Biologies,1.11021E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2002-2019,ACTIVE
1631-0713,Comptes rendus. Géoscience,1.11021E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,2002-2019,ACTIVE
1641-1307,DENDROBIOLOGY,9.91043E+14,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2009,ACTIVE
1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2008,ACTIVE
1661-5751,Journal für Verbraucherschutz und Lebensmittelsicherheit,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2006,ACTIVE
1664-2201,Alpine Botany,2.94E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2005,ACTIVE
1673-1581,Journal of Zhejiang University - Science B,1E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2005,ACTIVE
1674-6767,Journal of Arid Land,2.66E+15,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2013,ACTIVE
